City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,edinburgh of the seven seas,-37.0676,-12.3116,15.27,88,100,14.4,SH,1719713912
1,argo,37.6333,22.7333,24.88,45,0,2.48,GR,1719713913
2,tocopilla,-22.092,-70.1979,17.99,62,1,2.46,CL,1719713914
3,blackmans bay,-43.0167,147.3167,6.96,90,100,0.45,AU,1719713916
4,ushuaia,-54.8,-68.3,-3.19,74,0,2.06,AR,1719713917
5,yellowknife,62.456,-114.3525,21.34,49,40,6.17,CA,1719713918
6,port-aux-francais,-49.35,70.2167,1.1,67,97,16.57,TF,1719713919
7,amursk,50.2261,136.8994,17.28,66,100,4.4,RU,1719713921
8,dwarka,22.2394,68.9678,29.31,86,97,7.87,IN,1719713922
9,mtwara,-10.2667,40.1833,20.45,93,5,3.53,TZ,1719713923
10,vigan,17.5747,120.3869,31.07,84,58,1.25,PH,1719713924
11,bredasdorp,-34.5322,20.0403,12.43,88,100,2.45,ZA,1719713928
12,ancud,-41.8697,-73.8203,8.14,86,100,8.23,CL,1719713929
13,ribeira grande,38.5167,-28.7,22.1,84,98,2.24,PT,1719713930
14,isafjordur,66.0755,-23.124,9.98,73,100,2.99,IS,1719713931
15,theniet el had,35.8711,2.0281,18.5,46,0,1.09,DZ,1719713935
16,vorgashor,67.5833,63.95,7.55,99,100,4.05,RU,1719713936
17,oum hadjer,13.2954,19.6966,27.85,61,100,5.34,TD,1719713937
18,albany,42.6001,-73.9662,23.13,80,100,1.34,US,1719713938
19,lensk,60.7253,114.9278,27.08,50,94,3.17,RU,1719713940
20,adamstown,-25.066,-130.1015,19.76,57,50,12.72,PN,1719713941
21,puerto baquerizo moreno,-0.9,-89.6,21.52,89,59,4.86,EC,1719713943
22,lihue,21.9789,-159.3672,27.77,65,20,5.66,US,1719713944
23,udachny,66.4167,112.4,18.22,42,100,4.1,RU,1719713945
24,roma,43.2128,-75.4557,24.9,87,100,3.09,US,1719713949
25,jamestown,42.097,-79.2353,24.8,94,100,3.09,US,1719713950
26,stanley,54.868,-1.6985,9.29,86,40,1.54,GB,1719713951
27,happy valley-goose bay,53.3168,-60.3315,14.17,94,75,4.12,CA,1719713953
28,mrakovo,52.7161,56.6244,10.41,74,100,6.9,RU,1719713954
29,carnarvon,-24.8667,113.6333,17.45,62,0,7.13,AU,1719713955
30,fortuna,40.5982,-124.1573,18.29,76,0,8.23,US,1719713956
31,acarau,-2.8856,-40.12,25.06,85,40,4.83,BR,1719713958
32,iqaluit,63.7506,-68.5145,3.85,86,100,3.6,CA,1719713959
33,afaahiti,-17.75,-149.2833,28.93,78,53,11.61,PF,1719713960
34,valparaiso,-33.0393,-71.6273,14.44,63,3,4.09,CL,1719713961
35,port mathurin,-19.6833,63.4167,22.31,82,95,11.27,MU,1719713963
36,tiksi,71.6872,128.8694,6.83,94,100,4.81,RU,1719713964
37,bilibino,68.0546,166.4372,17.63,57,100,2.79,RU,1719713965
38,tofol,5.3248,163.0078,30.88,70,75,5.14,FM,1719713967
39,oriximina,-1.7656,-55.8661,26.42,68,6,0.8,BR,1719713968
40,avarua,-21.2078,-159.775,26.03,69,40,7.2,CK,1719713969
41,dudinka,69.4058,86.1778,8.55,59,31,3.93,RU,1719713971
42,anadyr,64.75,177.4833,8.28,81,75,6.0,RU,1719713972
